visibility,altitude,date,TDB,eclipse_type
not_visible,-1.0267914137900336,1699-09-09,2341858.9424558976,Partial
visible,41.23562194135897,1700-03-05,2342035.8176568737,Total
not_visible,-30.304020455345526,1700-08-29,2342213.0426279483,Total
visible,9.500424139142051,1701-02-22,2342390.479105754,Partial
not_visible,-38.23506127859415,1701-08-18,2342567.06407184,Partial
visible,40.06489318347935,1702-01-14,2342715.5649874248,Penumbral
not_visible,-22.418553887525274,1702-02-12,2342745.098198732,Penumbral
not_visible,-0.9347357937886859,1702-07-09,2342891.903833953,Penumbral
not_visible,-53.38453882522113,1702-08-07,2342921.305546262,Penumbral
visible,58.811965619847555,1703-01-03,2343069.7903361144,Partial
visible,6.428679382330688,1703-06-29,2343246.5505213086,Total
visible,63.409290389815254,1703-12-23,2343423.7707412536,Total
not_visible,-65.26107653060396,1704-06-17,2343601.267873962,Total
visible,55.32120692938251,1704-12-11,2343777.799636466,Partial
not_visible,-23.7189969763491,1705-05-08,2343926.40817292,Penumbral
visible,5.852334826068728,1705-06-07,2343955.8604262993,Penumbral
visible,55.55484303504898,1705-11-01,2344102.633838287,Penumbral
not_visible,-21.896316720916115,1705-11-30,2344132.118070291,Penumbral
visible,17.54752622263036,1706-04-28,2344280.563693652,Partial
not_visible,-31.134615778499125,1706-10-21,2344457.290507781,Partial
visible,21.066251623862676,1707-04-17,2344634.5691529405,Total
visible,6.94628032876761,1707-10-11,2344811.9339963305,Total
visible,40.980953353944216,1708-04-05,2344988.734533507,Partial
not_visible,-17.98839641446011,1708-09-29,2345166.3757345635,Partial
visible,52.29262316312979,1709-02-24,2345313.785162508,Penumbral
not_visible,-52.871403271177336,1709-03-25,2345343.1968757887,Penumbral
visible,16.832096083479826,1709-08-20,2345490.852714901,Penumbral
visible,18.109930093458043,1709-09-19,2345520.5213295985,Penumbral
visible,3.8515272893449066,1710-02-13,2345668.4515507156,Partial
visible,0.3851905284289092,1710-08-09,2345844.9137392626,Partial
not_visible,-4.7490339657518135,1711-02-03,2346023.0218525566,Total
not_visible,-66.02449247748959,1711-07-29,2346199.24332186,Total
not_visible,-20.813440245617205,1712-01-23,2346377.324386455,Partial
visible,8.613310892767549,1712-06-19,2346524.5682481388,Penumbral
visible,12.34266367612531,1712-07-18,2346553.8484530146,Partial
visible,37.780452027340964,1712-12-13,2346701.537390353,Penumbral
not_visible,-15.346551137998205,1713-01-11,2346731.343647629,Penumbral
not_visible,-64.55002234466167,1713-06-08,2346879.2695973734,Partial
visible,63.610469905111536,1713-12-02,2347055.636885005,Partial
visible,19.57921799450511,1714-05-29,2347233.795153627,Total
not_visible,-11.536760216649016,1714-11-21,2347410.042853103,Total
not_visible,-30.9962020385918,1715-05-18,2347588.0200319113,Partial
visible,63.8994002612608,1715-11-11,2347764.6668195515,Partial
not_visible,-23.91145130134177,1716-04-06,2347912.3906238643,Penumbral
not_visible,-34.09251054612786,1716-05-06,2347942.040055159,Penumbral
visible,19.785828384790072,1716-10-01,2348089.882036317,Penumbral
not_visible,-23.069647888651026,1716-10-30,2348119.3210523105,Penumbral
visible,38.99074086173129,1717-03-27,2348266.634478567,Partial
not_visible,-47.62799452676673,1717-09-20,2348444.2461001137,Partial
not_visible,-45.27516983914092,1718-03-16,2348621.162894923,Total
not_visible,-37.343623812010804,1718-09-09,2348798.3280860335,Total
visible,38.21266815369218,1719-03-06,2348975.8327735877,Partial
